Guia 06,,,,,,,,,,,
Nome,David de Sa Vieira de faria,,,,,,,,,,
Matricula,699415,,,,,,,,,,
,,,,,,,,,,,
guia0602,,,,,,,,,,,
"a) F (X,Y,Z) = π M ( 4, 6, 7 )",,,,,,,,,,,
#,x,y,z,s,,Mapa Veitch-Karnaugh,,,,,
0,0,0,0,1,,posicao,,1,2,3,4
1,0,0,1,1,,,x\yz,00,01,11,10
2,0,1,0,1,,a,0,,,,
3,0,1,1,1,,b,1,0,,0,0
4,1,0,0,0,,Conjuntos,"{b1,b4},{b3,b4}",,,,
5,1,0,1,1,,Fun. Simplificada,x'+z . x'+y',,,,
6,1,1,0,0,,,,,,,
7,1,1,1,0,,,,,,,
,,,,,,,,,,,
"b) F (X,Y,Z) = π M ( 1, 5, 6 )",,,,,,,,,,,
#,x,y,z,s,,Mapa Veitch-Karnaugh,,,,,
0,0,0,0,1,,posicao,,1,2,3,4
1,0,0,1,0,,,x\yz,00,01,11,10
2,0,1,0,1,,a,0,,,,0
3,0,1,1,1,,b,1,,0,,0
4,1,0,0,1,,Conjuntos,"{a4,b4},{b2,b2}",,,,
5,1,0,1,0,,Fun. Simplificada,y+z' . x+y'+z ,,,,
6,1,1,0,0,,,,,,,
7,1,1,1,1,,,,,,,
,,,,,,,,,,,
"c) F (X,Y,Z) = π M ( 1, 2, 4, 6 )",,,,,,,,,,,
#,x,y,z,s,,Mapa Veitch-Karnaugh,,,,,
0,0,0,0,1,,,,,,,
1,0,0,1,0,,x\yz,00,01,11,10,
2,0,1,0,0,,0,,0,,0,
3,0,1,1,1,,1,0,,,0,
4,1,0,0,0,,Conjuntos,"(1),(2,6),(4,6)",,,,Obs.Alterado como sao feito os conjuntos
5,1,0,1,1,,Fun. Simplificada,x+y+z' . y'+z . x'+z,,,,
6,1,1,0,0,,,,,,,
7,1,1,1,1,,,,,,,
,,,,,,,,,,,
"d) F (X,Y,Z) = π M ( 1, 3, 5, 7 )",,,,,,,,,,,
#,x,y,z,s,,Mapa Veitch-Karnaugh,,,,,
0,0,0,0,1,,,,,,,
1,0,0,1,0,,x\yz,00,01,11,10,
2,0,1,0,1,,0,,0,0,,
3,0,1,1,0,,1,,0,0,,
4,1,0,0,1,,Conjuntos,"(1,3),(5,7)",,,,
5,1,0,1,0,,Fun. Simplificada,x+z' . x'+z',,,,
6,1,1,0,1,,,,,,,
7,1,1,1,0,,,,,,,
,,,,,,,,,,,
"e) F (X,Y,Z) = π M ( 2, 3, 6, 7 )",,,,,,,,,,,
#,x,y,z,s,,Mapa Veitch-Karnaugh,,,,,
0,0,0,0,1,,,,,,,
1,0,0,1,1,,x\yz,00,01,11,10,
2,0,1,0,0,,0,,,0,0,
3,0,1,1,0,,1,,,0,0,
4,1,0,0,1,,Conjuntos,"(2,3),(6,7)",,,,
5,1,0,1,1,,Fun. Simplificada,x+y' . x'+y',,,,
6,1,1,0,0,,,,,,,
7,1,1,1,0,,,,,,,
